Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
28877,"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,"Harris, Thomas",,"=""""","=""""",4,Dutton,Hardcover,454,2000,1981,2026/02/27,2026/02/21,,,read,,,,1,0
36315374,Jar of Hearts,Jennifer Hillier,"Hillier, Jennifer",,"=""1250154197""","=""9781250154194""",3,Minotaur Books,Hardcover,311,2018,2018,2026/02/21,2026/02/11,,,read,,,,1,0
60784636,All the Dangerous Things,Stacy Willingham,"Willingham, Stacy",,"=""1250803853""","=""9781250803856""",5,Minotaur Books,Hardcover,326,2023,2023,2026/02/10,2026/02/07,,,read,,,,1,0
52439531,"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,"Barnes, Jennifer Lynn",,"=""1368052401""","=""9781368052405""",4,"Little, Brown Books for Young Readers",Hardcover,386,2020,2020,2026/02/07,2026/01/30,,,read,,,,1,0
21686,Shutter Island,Dennis Lehane,"Lehane, Dennis",,"=""038073186X""","=""9780380731862""",5,HarperTorch,Mass Market Paperback,369,2004,2003,2026/01/30,2026/01/25,,,read,,,,1,0
56269064,Rock Paper Scissors,Alice Feeney,"Feeney, Alice",,"=""1250266106""","=""9781250266101""",4,Flatiron Books,Hardcover,294,2021,2021,2026/01/24,2026/01/14,,,read,,,,1,0
1971304,City of Thieves,David Benioff,"Benioff, David",,"=""0670018708""","=""9780670018703""",5,Viking / Penguin,Hardcover,258,2008,2008,2026/01/14,2026/01/06,,,read,,,,1,0
56268973,These Silent Woods,Kimi Cunningham Grant,"Grant, Kimi Cunningham",,"=""1250793394""","=""9781250793393""",4,Minotaur Books,Hardcover,288,2021,2021,2026/01/05,2025/12/27,,,read,,,,1,0
195967140,The Teacher,Freida McFadden,"McFadden, Freida",,"=""1728296218""","=""9781728296210""",1,Poisoned Pen Press,Paperback,379,2024,2024,2025/12/26,2025/12/26,,,read,,,,1,0
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",5,Alfred A. Knopf,Kindle Edition,592,2006,2005,2025/12/08,2021/04/20,,,read,,,,2,0
59947696,Wrong Place Wrong Time,Gillian McAllister,"McAllister, Gillian",,"=""0063252341""","=""9780063252349""",5,William Morrow,Hardcover,416,2022,2022,2025/12/07,2025/11/17,,,read,,,,1,0
233770059,The Woman in Cabin 10 (Lo Blacklock #1),Ruth Ware,"Ware, Ruth",,"=""166822187X""","=""9781668221877""",4,Simon & Schuster,Paperback,400,2025,2016,2025/11/29,2025/11/21,,,read,,,,1,0
51540935,The Whisper Man,Alex North,"North, Alex",,"=""1250318009""","=""9781250318008""",4,Celadon Books,Paperback,384,2020,2019,2025/11/21,2025/11/14,,,read,,,,1,0
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""""","=""""",0,Vintage Books,Paperback,296,2000,1987,,2025/11/17,months-target,months-target (#3),months-target,,,,0,0
150698598,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",0,Black Swan,Paperback,608,2005,2005,,2025/11/17,months-target,months-target (#2),months-target,,,,0,0
56916837,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",0,Harper Perennial Modern Classics,Paperback,323,2021,1960,,2025/11/17,months-target,months-target (#1),months-target,,,,0,0
211004089,Wild Dark Shore,Charlotte McConaghy,"McConaghy, Charlotte",,"=""""","=""""",0,Flatiron Books,Hardcover,298,2025,2025,,2025/10/19,to-read,to-read (#23),to-read,,,,0,0
153025,Heart-Shaped Box,Joe  Hill,"Hill, Joe",,"=""0061147931""","=""9780061147937""",5,William Morrow,Hardcover,376,2007,2007,2025/11/13,2025/11/04,,,read,,,,1,0
47212,"Storm Front (The Dresden Files, #1)",Jim  Butcher,"Butcher, Jim",,"=""0451457811""","=""9780451457813""",5,Penguin ROC,Paperback,372,2000,2000,2025/11/03,2025/10/28,,,read,,,,1,0
62874245,The Drowning Woman,Robyn Harding,"Harding, Robyn",,"=""1538726769""","=""9781538726761""",5,Grand Central Publishing,Hardcover,336,2023,2023,2025/10/28,2025/10/23,,,read,,,,1,0
61884832,All the Sinners Bleed,S.A. Cosby,"Cosby, S.A.",,"=""1250831911""","=""9781250831910""",5,Flatiron Books,Hardcover,338,2023,2023,2025/10/23,2025/10/13,,,read,,,,1,0
207611566,Witchcraft for Wayward Girls,Grady Hendrix,"Hendrix, Grady",,"=""0593548981""","=""9780593548981""",0,Berkley,Hardcover,482,2025,2025,,2025/10/20,to-read,to-read (#22),to-read,,,,0,0
194020321,Home Is Where the Bodies Are,Jeneva Rose,"Rose, Jeneva",,"=""""","=""9798212182843""",5,"Blackstone Publishing, Inc.",Hardcover,256,2024,2024,2025/10/14,2025/10/11,,,read,,,,1,0
23019294,A Head Full of Ghosts,Paul Tremblay,"Tremblay, Paul",,"=""0062363239""","=""9780062363237""",5,William Morrow,Hardcover,287,2015,2015,2025/10/11,2025/09/28,,,read,,,,1,0
57773248,Notes on an Execution,Danya Kukafka,"Kukafka, Danya",,"=""0063052733""","=""9780063052734""",5,William Morrow,Hardcover,306,2022,2022,2025/09/27,2025/09/18,,,read,,,,1,0
60879779,"Everyone in My Family Has Killed Someone (Ernest Cunningham, #1)",Benjamin   Stevenson,"Stevenson, Benjamin",,"=""0063279029""","=""9780063279025""",5,Mariner Books,Hardcover,384,2023,2022,2025/09/17,2025/09/09,,,read,,,,1,0
29981261,"The Butterfly Garden  (The Collector, #1)",Dot Hutchison,"Hutchison, Dot",,"=""1503989712""","=""9781503989719""",5,Thomas & Mercer,Kindle Edition,288,2016,2016,2025/09/02,2025/08/25,,,read,,,,1,0
57645345,Twenty Years Later,Charlie Donlea,"Donlea, Charlie",,"=""1496727169""","=""9781496727169""",5,Kensington,Hardcover,357,2021,2021,2025/08/25,2025/08/15,,,read,,,,1,0
43807935,When She Returned,Lucinda Berry,"Berry, Lucinda",,"=""1542092914""","=""9781542092913""",5,Thomas & Mercer,Kindle Edition,293,2019,2019,2025/08/15,2025/08/08,,,read,,,,1,0
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",5,Dial Press,Paperback,275,1999,1969,2025/08/09,2025/07/30,,,read,,,,1,0
199798006,We Used to Live Here,Marcus Kliewer,"Kliewer, Marcus",,"=""1982198788""","=""9781982198787""",5,Atria/Emily Bestler Books,Hardcover,312,2024,2024,,2025/08/07,,,read,,,,2,0
52397,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,"Butler, Octavia E.",,"=""0446675504""","=""9780446675505""",5,Grand Central Publishing,Paperback,345,2000,1993,2025/07/31,2025/07/23,,,read,,,,1,0
